StationID,Station
8301322,Monza$<1>$MOZ$<3>
8301325,Sesto S. Giovanni$<1>$SESG$<3>
8301326,Milano Greco Pirelli$<1>$MIGP$<3>
8301400,Chiavenna$<1>
8301440,Tirano FS$<1>$TIFS$<3>
8301631,Milano Porta Genova$<1>
8301640,Milano Certosa$<1>$MICE$<3>
8301645,Milano Porta Garibaldi$<1>$MIGA$<3>
8301662,Milano Porta Garibali Passante$<1>
8301666,Milano Villapizzone$<1>$MIVE$<3>
8301700,Milano Centrale$<1>$Mailand$<4>$Milan (I)$<4>$Milano$<4>$MICL$<3>
8301701,Milano Lambrate$<1>$MILA$<3>
8302200,Mals/Malles$<1>
8302593,Venezia S. Lucia$<1>$Venedig$<4>$Venezia$<4>$Venice$<4>$Venise$<4>$VESL$<3>
8322117,Venezia$<1>
8322126,Milano Cadorna$<1>
8325004,Milano Nord Bovisa$<1>
8325251,Varese Nord$<1>
8325432,Como Nord Camerlata$<1>$CONC$<3>
8325635,Malpensa Aeroporto T1$<1>$MAAE$<3>
8385217,Venezia Tronchetto (Bus)$<1>
8389056,Como S. Giovanni (Busbahnhof)$<1>
8389414,Milano Lampugnano (Bus)$<1>
8500010,Basel SBB$<1>$Basilea FFS$<4>$Basle SBB$<4>$Bâle CFF$<4>$BS$<3>
8500016,Basel St. Johann$<1>$BSSJ$<3>
8500019,Schweizerhalle$<1>$SHAL$<3>
8500020,Muttenz$<1>$MU$<3>
8500021,Pratteln$<1>$PR$<3>
8500022,Frenkendorf-Füllinsdorf$<1>$FRE$<3>
8500023,Liestal$<1>$LST$<3>
8500024,Lausen$<1>$LSN$<3>
8500025,Itingen$<1>$IT$<3>
8500026,Sissach$<1>$SIS$<3>
8500027,Gelterkinden$<1>$GKD$<3>
8500028,Tecknau$<1>$TK$<3>
8500031,Diepflingen$<1>$DIE$<3>
8500032,Sommerau$<1>$SOM$<3>
8500033,Rümlingen$<1>$RLG$<3>
8500034,Buckten$<1>$BUC$<3>
8500035,Läufelfingen$<1>$LF$<3>
8500037,Trimbach$<1>$TRI$<3>
8500038,Basel St. Jakob$<1>$BSJA$<3>
8500051,"Reinach BL, Dorf$<1>$RACH$<3>"
8500060,"Binningen, Schloss$<1>$BINI$<3>"
8500061,"Binningen, Bottmingermühle$<1>"
8500062,"Bottmingen, Schloss$<1>$BOTM$<3>"
8500063,"Oberwil BL, Zentrum$<1>$OW$<3>"
8500064,"Therwil, Zentrum$<1>$TWIL$<3>"
8500065,"Ettingen, Bahnhof$<1>$ET$<3>"
8500066,"Witterswil, Station$<1>$WW$<3>"
8500067,"Bättwil, Dorf$<1>$BTWI$<3>"
8500068,"Flüh, Bahnhof$<1>$FLUE$<3>"
