StationID,Station
8505903,"Agarone, Piandesso"
8575548,"Agarone, Roccolo"
8575547,"Agarone, Ronco Morasci"
8505905,"Agarone, i Lög"
8575930,Agasul
8570235,"Agiez, L'Epine"
8507650,"Agiez, Vers-le-Pont"
8505395,Agno
8575395,"Agno, Chiesa"
8575394,"Agno, Posta/FLP"
8583478,"Agra, Bivio"
8505750,"Agra, Paese"
8583479,"Agra, Roncone"
8583480,"Agra, Rondelli"
8570547,Agriswil
8501400,Aigle
8593765,"Aigle, Champex"
8593766,"Aigle, Dents-du-Midi"
8581048,"Aigle, Golf"
8581050,"Aigle, La Mêlée"
8593769,"Aigle, Novassales"
8581047,"Aigle, Pautex"
8593770,"Aigle, Pré d'Emoz A"
8593771,"Aigle, Pré d'Emoz B"
8581049,"Aigle, Service Auto"
8593763,"Aigle, av. Margencel"
8593764,"Aigle, ch. des Lieugex"
8570600,"Aigle, gare"
8593768,"Aigle, hôpital"
8570601,"Aigle, place du Marché"
8581046,"Aigle, rte d'Evian"
8501484,Aigle-Dépôt
8501468,"Aigle-Dépôt ASD"
8530335,Aigle-Hôpital
8517484,"Aigle-Parc Aventure"
8501554,Aigle-Place-du-Marché
8587028,Aire-la-Ville
8595556,"Aire-la-Ville, Moulin-Ratte"
8595556,"Aire-la-Ville, Moulin-de-la-Ratte"
8592619,"Aire-la-Ville, Pont-de-Peney"
8592620,"Aire-la-Ville, Treulaz"
8505201,Airolo
8530436,"Airolo FAB"
8587462,"Airolo, Biv. per Madrano"
8575696,"Airolo, Bivio per Nante"
8581249,"Airolo, Buco dei Cavalli"
8575697,"Airolo, Centro Sportivo"
8575691,"Airolo, Cioss di fuori"
8575690,"Airolo, Funivia"
8573143,"Airolo, Galleria Banchi"
8573144,"Airolo, Pian Secco Belvédère"
8575689,"Airolo, Stazione"
8774113,Aix-les-Bains-le-Revard
8575530,Alabardia
8301310,Albate-Camerlata
8572804,"Alberswil, Burgrain"
8508651,"Alberswil, Dorf"
8572807,"Alberswil, Unterdorf"
8504072,Albeuve
8530597,Albigna
8588297,"Albinen, Dorben"
8588148,"Albinen, Panorama"
8501652,"Albinen, Post"
8579540,"Albinen, Rhodania"
8579548,"Albinen, Schreinerei"
8588296,"Albinen, Schwelli"
8530179,"Albinenleitern LLAT"
8579547,"Albinenleitern, Abzw. Flaschen"
8501341,"Albinenleitern, Flaschen"
8571661,"Albligen, Abzw. Harris"
8504766,"Albligen, Dorf"
8570558,"Albligen, Kurried"
8507741,"Albligen, Ruchmühle"
8505376,Albonago
8594208,"Albonago, Funicolare"
8594209,"Albonago, Gradinata"
8591793,"Albonago, Paese"
8591579,"Albonago, Roccolo"
8591580,"Albonago, Sentiero Castagni"
8594211,"Albonago, Sentiero Cavan"
8591581,"Albonago, Via Max Frisch"
8594210,"Albonago, Via Ruscello"
8591577,"Albonago, ai Ronchi"
8591578,"Albonago, al Bosco"
8589193,"Alchenflüh, Bernstrasse Ost"
8588627,"Alchenstorf, Dorf"
8576495,"Alchenstorf, Oberalchenstorf"
8576494,"Alchenstorf, Unteralchenstorf"
8589489,"Alchenstorf, Wil"
8505377,Aldesago
8591582,"Aldesago, Arcate"
8591583,"Aldesago, Narbostra"
8591794,"Aldesago, Paese"
8591584,"Aldesago, Pontaccio"
8591585,"Aldesago, Ronchée"
8591586,"Aldesago, Via Rava"
8595388,"Algetshausen, Dorf"
8577132,"Alikon, Oberalikon"
8505869,All'Acqua
8501035,Allaman
8579079,"Allaman, gare"
8500186,Alle
8583356,"Alle, centre sportif / loisirs"
8572096,"Alle, poste/gare"
8583343,"Alle, rue de l'église"
8583345,"Alle, zone industrielle"
8571448,"Allenlüften, Dorf"
8570095,"Allens, village"
8014581,Allensbach
8502284,"Allenwinden, Dorf"
8577533,"Allenwinden, Egg"
8577534,"Allenwinden, Grüt"
8577532,"Allenwinden, Inkenberg"
8577535,"Allenwinden, St. Meinrad"
8577902,"Allerheiligenberg, Höhenklinik"
8577903,"Allerheiligenberg, Rank"
8590412,"Allerheiligenberg, Rest. Aller"
8501378,Allières
8530302,Allmenalp
8507550,Allmend
8507359,"Allmendhubel (Standseilbahn)"
8577023,"Allmendingen b. B, Garten-C."
8508094,"Allmendingen b. B, Hirschen"
8577024,"Allmendingen b. B, Käserei"
8577023,"Allmendingen b. Bern, Garten-Center"
8508094,"Allmendingen b. Bern, Hirschen"
8577024,"Allmendingen b. Bern, Käserei"
8588173,"Allmendingen b.Thun,Wendeplatz"
8576836,"Allmendingen bei Thun, Dorf"
8576834,"Allmendingen bei Thun, RAZ"
8589283,"Allschwil, Bettenacker"
8578160,"Allschwil, Binningerstrasse"
8587001,"Allschwil, Dorf"
8589284,"Allschwil, Friedhof"
8588761,"Allschwil, Gartenhof"
8578174,"Allschwil, Gartenstrasse"
8589285,"Allschwil, Grabenring"
8578173,"Allschwil, Hagmattstrasse"
8578172,"Allschwil, Im Brühl"
8589286,"Allschwil, Kirche"
8578171,"Allschwil, Kreuzstrasse"
8578159,"Allschwil, Letten"
8589287,"Allschwil, Lindenplatz"
8589288,"Allschwil, Merkurstrasse"
8578158,"Allschwil, Paradies"
8589289,"Allschwil, Parkallee"
8578163,"Allschwil, Reservoir"
8578162,"Allschwil, Rosenberg"
8593495,"Allschwil, Spitzwald"
8588763,"Allschwil, Stegmühleweg"
8589290,"Allschwil, Ziegelei"
8578164,"Allschwil, Ziegelhof"
8593496,"Allschwil, Zum Sporn"
8574544,Almens
8577574,"Alosen, Brämenegg"
8502865,"Alosen, Dorf"
8502866,"Alosen, Giregg"
8502867,"Alosen, Raten"
8577573,"Alosen, Schmidte"
8574813,"Alp Camp"
8530738,"Alp Darlux"
8509357,"Alp Grüm"
8530606,"Alp Languard"
8582785,"Alp Nagens"
8530581,"Alp Pradaschier"
8530485,"Alp Sellamatt"
8530583,"Alp Stätz"
8530610,"Alp Trider Sattel"
8503859,"Alpamare Zürichsee"
8578848,"Alpe Casaccia"
8530460,"Alpe Foppa"
8505600,"Alpe di Neggia, Alpe"
8505602,"Alpe di Neggia, Bv. Trecciura"
8530347,"Alpen Tower"
8507375,Alpiglen
8508316,"Alpnach Dorf"
8572909,"Alpnach Dorf, Bahnhof"
8581164,"Alpnach Dorf, Hofmättelikreuz"
8572908,"Alpnach Dorf, Kantonalbank"
8581160,"Alpnach Dorf, Schoried"
8581326,"Alpnach Dorf, untere Feldstr."
8508317,Alpnachstad
8508503,"Alpnachstad (See)"
8508458,"Alpnachstad PB"
8582458,"Alpnachstad, Bahnhof"
8503724,"Alpthal, Eigen"
8573760,"Alpthal, Gribsch"
8573761,"Alpthal, Grund"
8503725,"Alpthal, Malosen"
8503861,"Alpthal, Post"
8580431,"Alpthal, Rütli"
8573762,"Alpthal, Schnüerlismatt"
8573763,"Alpthal, Stei"
8530484,"Alt St. Johann (Sellamattbahn)"
8506750,"Alt St. Johann, Dorf"
8574025,"Alt St. Johann, Horb"
8575709,Altanca
8505259,"Altanca FPR"
8587351,Altavilla
8572779,"Altbüron, Feld"
8572780,"Altbüron, Gruenbach"
8572778,"Altbüron, Halde"
8572776,"Altbüron, Hiltbrunnen"
8595695,"Altbüron, Linden"
8580018,"Altbüron, Ludligen"
8572777,"Altbüron, Post"
8505113,Altdorf
8503950,"Altdorf SH, Dorf"
8573089,"Altdorf UR, Allmend"
8573088,"Altdorf UR, Bahnhof"
8587775,"Altdorf UR, Chornmatt"
8577377,"Altdorf UR, Dätwyler AG"
8587401,"Altdorf UR, Frauenkloster"
8577376,"Altdorf UR, Gemeindehaus"
8573087,"Altdorf UR, Hagenschulhaus"
8573116,"Altdorf UR, Kollegium"
8588567,"Altdorf UR, Langmatt"
8577373,"Altdorf UR, Moosbad"
8505657,"Altdorf UR, Post"
8588652,"Altdorf UR, Pro Familia"
8577374,"Altdorf UR, Ringli"
8577393,"Altdorf UR, Ruberst"
8577375,"Altdorf UR, Spital"
8588583,"Altdorf UR, Steinmattstrasse"
8505892,"Altdorf UR, Telldenkmal"
8503211,Altendorf
8503683,"Altendorf ZSG"
8573826,"Altendorf, Bahnhof"
8573828,"Altendorf, Bitzi"
8573825,"Altendorf, Letzi"
8503635,"Altendorf, Lidwil"
8503636,"Altendorf, Schweizerhofplatz"
8573827,"Altendorf, Stoglen"
8582391,"Altendorf, Talstrasse"
8570505,"Altendorf, Tevag"
8506467,"Altenrhein Schifflände"
8581491,"Altenrhein, Am Rhein"
8581490,"Altenrhein, Dorf"
8581489,"Altenrhein, Flugplatz"
8581492,"Altenrhein, Hegi"
8581508,"Altenrhein, Markthalle"
8581509,"Altenrhein, Schulhaus"
8506389,"Alter Zoll"
8504945,"Alterswil FR, Beniwil"
8504850,"Alterswil FR, Dorfplatz"
8504620,"Alterswil FR, Galteren"
8577840,"Alterswil FR, Geriwil"
8577841,"Alterswil FR, Hofmatt"
8504626,"Alterswil FR, Wengliswil"
8577842,"Alterswil FR, Wilersguet"
8506554,Alterswilen
8576302,"Altikon, Brückenwaage"
8582021,"Altikon, Herten"
8572810,"Altishofen, Bäckerei"
8572811,"Altishofen, Unterdorf"
8500081,Altmarkt
8503292,Altmatt
8506125,Altnau
8530834,"Altnau (See)"
8581706,"Altnau, Bahnhof"
8573431,"Altnau, Kirche"
8573428,"Altnau, Längiacker"
8573430,"Altnau, Post"
8573432,"Altnau, Rössli"
8581675,"Altnau, Schmitteweg"
8581677,"Altnau, Seezelgstrasse"
8581676,"Altnau, Unterdorf"
8573429,"Altnau, Unterhof"
8504365,Altreu
8589875,"Altreu, Info Zentrum Witi"
8589876,"Altreu, Mitte"
8589074,"Altreu, Nord"
8506319,"Altstätten SG"
8578482,"Altstätten SG, Altersh. Forst"
8506450,"Altstätten SG, Bahnhof"
8578472,"Altstätten SG, Baumert"
8594591,"Altstätten SG, Breite"
8588215,"Altstätten SG, Bächler"
8578463,"Altstätten SG, Depot"
8587486,"Altstätten SG, Eichbergerstr."
8588217,"Altstätten SG, Elsenacker"
8594590,"Altstätten SG, Ergeten"
8578473,"Altstätten SG, Ergeten-Loch"
8594593,"Altstätten SG, Feldstrasse"
8588128,"Altstätten SG, Fleuben"
8578480,"Altstätten SG, Hirschen"
8580996,"Altstätten SG, Kapf"
